Store_ID,Month,Region,Product Mix,Inventory–Local Demand Match,Customer Loyalty & Engagement,Promotions & Pricing Effectiveness,Competitor New Stores,Competitor Ad Spend (₱),Sales Decline,Customer Basket Size,Customer Trip Frequency,Inventory Holding Costs (₱),Market Share in Region,Customer Preference Alignment
S0098,2025-07,Midwest,Standard,Low,Moderate,Ineffective,1,172.63,19.95,3.27,1.85,162646,9.67,Low
S0088,2025-12,Southeast,Specialty,Low,Moderate,Effective,0,232.21,15.3,2.93,1.5,152354,11.4,Low
S0176,2024-12,Midwest,New Products,Low,Weak,Effective,1,256.4,23.61,1.94,1.27,166252,8.62,High
S0137,2024-07,Other,Specialty,High,Strong,Effective,1,415.84,8.24,3.16,1.47,50841,10.6,Low
S0010,2024-12,Southeast,Standard,Medium,Moderate,Effective,1,359.08,10.65,2.85,1.45,89855,8.74,Low
S0129,2024-07,Midwest,Standard,High,Strong,Effective,0,79.44,1.08,2.58,2.02,59998,16.14,Low
S0119,2025-08,Southeast,Standard,Low,Strong,Effective,2,144.88,22.16,3.03,1.49,143888,4.97,Low
S0131,2025-11,Midwest,Standard,High,Strong,Ineffective,1,91.87,4.54,3.17,2.16,50267,12.85,Low
S0064,2025-09,Other,Standard,Medium,Moderate,Ineffective,1,288.73,14.72,3.23,0.61,90887,7.99,Low
S0005,2024-11,Midwest,Specialty,Medium,Strong,Ineffective,0,460.85,10.45,3.76,2.11,97065,10.17,Low
S0032,2024-08,Other,Specialty,High,Moderate,Effective,0,604.06,5.39,3.58,1.95,76663,13.4,Low
S0094,2025-11,Southeast,Standard,High,Strong,Effective,0,211.55,8.51,2.65,2.18,85334,14.78,Low
S0058,2025-12,Southeast,Standard,High,Strong,Effective,0,50.92,0.0,3.4,1.39,39397,14.69,Low
S0029,2024-06,Midwest,Standard,Medium,Strong,Effective,0,275.87,7.86,3.27,0.68,108177,12.24,Low
S0097,2025-01,Southeast,Standard,Medium,Moderate,Effective,0,253.89,11.27,3.48,1.25,102649,12.01,Low
S0062,2025-07,Southeast,Standard,High,Strong,Ineffective,0,299.12,12.64,2.88,1.48,80892,11.31,Low
S0128,2024-06,Midwest,Specialty,High,Weak,Effective,1,112.46,15.89,1.96,1.41,96579,7.82,Low
S0018,2024-09,Midwest,Standard,Medium,Strong,Ineffective,3,147.75,10.91,3.82,1.7,128383,10.45,Low
S0004,2024-08,Other,Specialty,Medium,Weak,Ineffective,0,576.92,15.39,2.98,1.15,142180,9.79,Low
S0175,2024-09,Midwest,New Products,Medium,Moderate,Ineffective,1,91.52,16.21,2.18,2.12,149804,9.62,High
S0210,2025-11,Southeast,New Products,Medium,Weak,Effective,1,374.09,15.64,3.19,1.33,100096,9.76,High
S0143,2024-04,Other,Standard,Low,Weak,Effective,0,123.69,16.67,2.11,2.23,123691,11.96,Low
S0130,2024-06,Southeast,Specialty,Low,Weak,Ineffective,1,818.61,29.31,1.97,1.48,180144,6.27,Low
S0141,2024-01,Southeast,Standard,Medium,Moderate,Effective,1,223.13,10.46,3.53,1.93,108112,9.41,Low
S0081,2024-07,Other,Specialty,Medium,Weak,Ineffective,0,283.06,13.16,3.87,1.16,121405,10.66,Low
S0165,2025-08,Southeast,New Products,Medium,Strong,Effective,2,201.03,15.36,2.85,1.22,113094,8.45,High
S0024,2024-04,Other,Standard,Low,Moderate,Ineffective,1,229.91,16.34,2.81,1.82,155751,9.49,Low
S0132,2025-08,Other,Specialty,High,Strong,Effective,0,213.99,1.43,2.62,1.66,31880,15.93,Low
S0198,2025-04,Other,New Products,Medium,Strong,Effective,0,253.3,6.9,2.44,1.62,93570,12.03,High
S0004,2025-01,Other,Specialty,High,Moderate,Ineffective,0,1270.8,11.69,2.83,1.3,92324,11.43,Low
S0152,2025-06,Other,New Products,High,Strong,Effective,0,694.41,6.65,3.06,1.43,63594,12.35,High
S0159,2024-08,Other,New Products,High,Strong,Effective,0,346.67,7.74,2.02,1.01,61948,10.33,High
S0067,2024-10,Southeast,Standard,Low,Moderate,Effective,2,118.13,18.34,1.56,1.11,151563,8.2,Low
S0140,2024-04,Midwest,Standard,Medium,Moderate,Ineffective,3,322.46,23.98,3.21,1.56,167740,4.9,Low
S0002,2024-06,Southeast,Standard,Low,Moderate,Effective,0,180.13,20.96,2.21,1.78,191817,8.13,Low
S0073,2024-05,Other,Standard,Medium,Strong,Effective,2,398.16,17.04,1.89,1.37,138193,7.02,Low
S0047,2025-11,Southeast,Specialty,Low,Moderate,Effective,1,110.43,8.42,2.7,1.33,92853,8.71,Low
S0021,2025-10,Other,Standard,Medium,Strong,Ineffective,1,310.06,14.22,1.62,0.98,125608,9.14,Low
S0156,2025-02,Other,New Products,High,Moderate,Effective,2,212.28,6.53,3.09,2.11,91936,11.37,High
S0154,2025-06,Southeast,New Products,Low,Moderate,Effective,0,86.02,9.55,3.22,1.82,93239,11.93,High
S0115,2025-02,Midwest,Specialty,Low,Strong,Ineffective,1,563.9,21.36,3.02,0.38,170738,5.99,Low
S0011,2024-09,Southeast,Standard,Low,Moderate,Effective,0,158.41,15.65,2.74,1.81,141281,9.66,Low
S0188,2024-02,Midwest,New Products,Low,Weak,Effective,1,504.34,17.64,2.41,1.45,141401,8.74,High
S0028,2024-06,Midwest,Specialty,Low,Moderate,Effective,2,659.19,19.63,2.54,1.01,141244,7.21,Low
S0059,2024-06,Midwest,Standard,Low,Strong,Ineffective,0,281.6,15.26,3.45,0.76,131090,9.92,Low
S0097,2025-02,Southeast,Standard,Low,Weak,Effective,1,186.63,15.73,2.64,1.39,121757,9.65,Low
S0111,2024-08,Southeast,Specialty,High,Weak,Effective,0,402.92,15.58,2.17,1.56,101084,10.47,Low
S0144,2025-10,Southeast,Standard,High,Moderate,Effective,1,169.34,13.45,3.36,1.37,114112,10.14,Low
S0088,2024-05,Southeast,Specialty,Medium,Moderate,Effective,0,312.67,9.14,2.4,1.33,110113,12.15,Low
S0122,2024-05,Southeast,Standard,Low,Moderate,Ineffective,0,586.94,26.56,2.95,0.65,165763,5.79,Low
S0123,2025-06,Midwest,Standard,High,Strong,Effective,1,231.95,1.63,3.0,1.67,67814,13.09,Low
S0122,2024-04,Southeast,Standard,Low,Moderate,Ineffective,0,437.62,21.29,3.19,1.16,189790,7.38,Low
S0088,2024-07,Southeast,Specialty,Medium,Weak,Effective,3,265.27,15.84,2.18,1.49,130337,8.02,Low
S0201,2025-11,Other,New Products,High,Moderate,Effective,0,399.71,5.72,3.66,1.91,59017,13.18,High
S0067,2024-12,Southeast,Standard,Low,Weak,Ineffective,1,506.81,28.43,2.98,1.41,180742,5.3,Low
S0001,2025-12,Other,Standard,High,Strong,Ineffective,0,272.55,6.36,3.22,1.45,71884,13.77,Low
S0089,2025-01,Midwest,Specialty,Low,Strong,Effective,1,154.91,12.55,3.37,1.36,114267,9.1,Low
S0049,2025-10,Other,Standard,Medium,Moderate,Ineffective,2,209.02,19.19,2.75,1.43,115020,7.71,Low
S0134,2024-08,Midwest,Standard,Medium,Moderate,Effective,1,301.41,20.62,2.78,1.53,126308,8.32,Low
S0125,2025-05,Midwest,Standard,High,Strong,Effective,2,483.45,4.7,3.2,1.53,12785,14.63,Low
S0191,2024-10,Other,New Products,High,Strong,Effective,0,257.01,2.36,3.44,1.94,65726,15.15,High
S0179,2025-08,Other,New Products,Medium,Strong,Effective,1,274.22,2.13,2.17,1.62,73734,13.18,High
S0020,2024-02,Southeast,Standard,Medium,Moderate,Ineffective,3,271.6,23.54,3.65,0.42,134434,4.83,Low
S0074,2025-06,Midwest,Standard,High,Strong,Effective,0,247.99,6.64,2.58,1.56,65843,12.81,Low
S0051,2024-01,Midwest,Standard,Low,Strong,Ineffective,1,386.98,23.45,2.82,2.06,169058,8.62,Low
S0056,2025-09,Other,Standard,Low,Moderate,Effective,0,228.82,7.38,3.54,0.71,123067,14.5,Low
S0089,2025-08,Midwest,Specialty,Medium,Strong,Ineffective,3,455.93,15.99,2.67,2.42,119772,6.35,Low
S0035,2025-02,Southeast,Standard,Medium,Moderate,Effective,0,458.55,18.09,1.86,1.48,109668,9.19,Low
S0206,2025-10,Midwest,New Products,Medium,Weak,Effective,0,104.34,18.8,2.3,1.08,96141,9.15,High
S0167,2024-07,Other,New Products,High,Moderate,Effective,0,204.91,6.76,2.76,1.1,64974,12.19,High
S0039,2025-04,Midwest,Standard,High,Moderate,Ineffective,1,462.36,15.64,2.37,1.48,99486,7.9,Low
S0149,2025-03,Southeast,Standard,Medium,Moderate,Ineffective,2,195.67,20.64,2.65,1.49,125741,8.05,Low
S0043,2025-06,Other,Standard,High,Strong,Ineffective,1,233.94,5.01,3.46,1.48,40478,12.5,Low
S0056,2025-07,Other,Standard,Low,Weak,Effective,0,199.74,13.91,1.32,1.82,135525,10.56,Low
S0170,2025-05,Other,New Products,Medium,Strong,Effective,0,226.89,6.37,1.72,1.57,101347,11.36,High
S0179,2025-10,Other,New Products,High,Strong,Ineffective,1,335.03,9.16,4.24,1.45,86763,11.15,High
S0008,2024-01,Other,Standard,Medium,Strong,Ineffective,0,175.03,12.89,3.52,2.68,108714,12.49,Low
S0127,2025-12,Midwest,Standard,High,Moderate,Effective,0,193.07,7.39,3.68,1.32,56429,12.43,Low
S0126,2024-01,Southeast,Standard,Medium,Moderate,Ineffective,3,201.0,11.81,2.81,1.39,96447,9.95,Low
S0138,2025-10,Southeast,Standard,Medium,Strong,Ineffective,0,280.76,8.63,3.47,3.07,127817,12.15,Low
S0031,2024-02,Other,Specialty,Low,Moderate,Ineffective,2,231.99,16.45,4.11,0.82,161966,9.91,Low
S0130,2024-11,Southeast,Specialty,Medium,Moderate,Ineffective,2,242.4,17.26,2.03,1.37,120093,7.64,Low
S0193,2025-11,Midwest,New Products,High,Moderate,Effective,0,179.03,7.63,2.88,1.78,47026,13.22,High
S0089,2025-04,Midwest,Specialty,Low,Weak,Effective,0,165.83,12.25,2.39,1.77,139692,11.87,Low
S0018,2024-07,Midwest,Standard,High,Strong,Ineffective,0,384.05,7.11,2.21,0.92,81782,12.95,Low
S0098,2025-08,Midwest,Standard,High,Moderate,Ineffective,0,187.16,10.57,3.16,1.27,88079,12.05,Low
S0046,2025-03,Other,Specialty,High,Moderate,Effective,0,416.11,4.33,3.83,2.21,48095,11.57,Low
S0030,2024-10,Other,Standard,Low,Weak,Effective,0,87.08,15.93,2.29,1.28,101779,11.3,Low
S0060,2024-02,Midwest,Standard,Medium,Strong,Effective,0,91.96,10.82,2.73,1.55,91048,9.82,Low
S0204,2024-09,Midwest,New Products,High,Moderate,Ineffective,0,205.38,14.05,2.77,1.47,89325,10.62,High
S0088,2025-05,Southeast,Specialty,High,Strong,Effective,0,207.99,4.24,3.2,1.71,63547,13.83,Low
S0007,2025-02,Other,Standard,Medium,Strong,Effective,0,335.45,3.58,3.11,1.8,76931,14.83,Low
S0029,2024-12,Midwest,Standard,Medium,Strong,Effective,2,194.83,13.81,2.98,1.44,98914,10.77,Low
S0202,2024-09,Other,New Products,High,Strong,Effective,0,467.38,2.3,3.06,1.96,56966,14.95,High
S0209,2024-11,Midwest,New Products,High,Strong,Ineffective,1,541.95,13.92,3.43,1.68,71497,11.32,High
S0112,2025-03,Midwest,Standard,High,Weak,Effective,1,389.2,5.63,2.68,1.58,78687,13.56,Low
S0021,2025-06,Other,Standard,Medium,Weak,Effective,0,299.01,13.32,2.7,1.79,124133,10.18,Low
S0079,2024-05,Southeast,Standard,High,Strong,Ineffective,2,352.09,20.7,2.63,1.33,104725,7.71,Low
S0072,2024-11,Southeast,Standard,Medium,Moderate,Ineffective,2,308.13,20.01,2.36,1.29,135485,6.91,Low
S0088,2024-08,Southeast,Specialty,Medium,Moderate,Ineffective,0,111.73,20.07,1.71,1.14,136134,8.63,Low
S0085,2025-04,Midwest,Specialty,Low,Moderate,Effective,1,210.01,18.78,2.63,1.29,156951,9.24,Low
S0096,2025-01,Southeast,Standard,Low,Moderate,Effective,0,255.9,13.03,4.0,2.52,130856,9.1,Low
S0042,2024-11,Other,Specialty,Medium,Moderate,Effective,0,111.23,8.13,3.06,1.2,96924,12.25,Low
S0073,2025-08,Other,Standard,Low,Weak,Effective,0,187.11,13.34,2.77,0.95,124918,10.04,Low
S0020,2025-04,Southeast,Standard,Medium,Strong,Ineffective,1,270.55,14.6,3.74,1.18,94295,9.77,Low
S0203,2025-05,Southeast,New Products,Medium,Strong,Effective,1,287.3,15.85,3.11,0.97,113035,9.96,High
S0008,2024-12,Other,Standard,Medium,Moderate,Ineffective,0,388.65,9.74,3.69,1.48,58356,11.26,Low
S0104,2025-03,Other,Standard,High,Strong,Effective,0,408.87,2.41,2.34,1.51,73621,16.43,Low
S0134,2024-06,Midwest,Standard,Low,Moderate,Effective,0,768.94,23.22,3.18,1.15,150558,7.92,Low
S0075,2024-11,Midwest,Standard,High,Strong,Effective,0,281.34,0.0,4.12,1.38,42666,14.3,Low
S0025,2024-11,Other,Specialty,Medium,Strong,Effective,1,393.87,12.21,2.84,1.45,90158,9.45,Low
S0054,2025-10,Other,Standard,High,Moderate,Effective,0,114.34,3.99,2.6,2.07,57053,13.94,Low
S0127,2025-11,Midwest,Standard,Medium,Moderate,Effective,0,337.2,18.37,4.15,1.42,127719,7.89,Low
S0209,2025-12,Midwest,New Products,Medium,Weak,Ineffective,1,602.89,18.96,2.49,1.51,127237,7.69,High
S0013,2024-10,Southeast,Standard,High,Moderate,Effective,1,188.03,7.46,3.07,1.62,77180,12.34,Low
S0119,2025-04,Southeast,Standard,High,Strong,Ineffective,0,215.78,14.22,3.03,1.82,100476,9.91,Low
S0057,2024-02,Southeast,Standard,Low,Strong,Effective,2,359.63,22.05,3.09,1.07,142591,6.43,Low
S0143,2024-06,Other,Standard,Medium,Weak,Effective,0,93.15,3.69,2.25,2.15,94234,13.76,Low
S0080,2024-07,Other,Standard,High,Moderate,Effective,1,259.42,6.82,4.27,1.63,26899,11.96,Low
S0032,2024-03,Other,Specialty,High,Moderate,Ineffective,1,245.13,14.68,3.16,1.26,70144,9.89,Low
S0151,2024-12,Other,New Products,High,Moderate,Ineffective,0,373.37,9.31,2.56,1.82,67663,11.86,High
S0018,2025-10,Midwest,Standard,Medium,Moderate,Ineffective,2,324.64,9.58,2.83,1.54,98866,10.92,Low
S0158,2025-08,Other,New Products,Medium,Moderate,Effective,0,187.75,11.28,3.45,1.33,119991,13.14,High
S0083,2024-06,Other,Specialty,High,Moderate,Ineffective,0,94.47,8.45,2.33,1.99,81602,13.38,Low
S0104,2025-04,Other,Standard,High,Strong,Effective,1,178.95,2.07,2.48,2.27,41790,12.67,Low
S0095,2024-09,Midwest,Specialty,Medium,Strong,Effective,0,595.93,10.34,3.09,1.87,99651,11.91,Low
S0046,2024-11,Other,Specialty,Medium,Strong,Effective,0,330.07,9.93,2.78,1.86,102565,12.23,Low
S0023,2025-05,Other,Specialty,Low,Strong,Ineffective,1,328.28,19.36,2.95,2.43,145234,7.83,Low
S0207,2024-06,Midwest,New Products,High,Moderate,Effective,1,139.33,12.61,3.01,1.62,72100,9.82,High
S0076,2024-08,Midwest,Standard,Medium,Strong,Ineffective,0,336.92,12.56,2.06,1.91,122017,11.49,Low
S0054,2024-01,Other,Standard,Medium,Moderate,Effective,1,406.99,12.8,2.84,1.21,111967,11.37,Low
S0113,2024-11,Midwest,Standard,High,Strong,Effective,1,723.97,16.14,1.94,1.38,71973,10.08,Low
S0189,2024-11,Other,New Products,Medium,Moderate,Effective,1,784.41,15.05,2.03,1.77,115132,9.04,High
S0042,2025-07,Other,Specialty,Medium,Strong,Effective,1,579.87,11.33,2.8,1.6,97893,9.65,Low
S0154,2024-11,Southeast,New Products,High,Strong,Effective,1,385.23,9.15,2.6,1.9,50026,10.54,High
S0019,2024-06,Other,Standard,High,Strong,Effective,0,471.47,1.18,3.35,1.53,32766,14.72,Low
S0209,2025-03,Midwest,New Products,Medium,Moderate,Effective,0,152.25,13.64,1.84,0.96,121282,11.03,High
S0029,2025-08,Midwest,Standard,High,Strong,Effective,0,206.2,6.83,1.65,1.97,47340,11.85,Low
S0044,2024-10,Midwest,Standard,High,Moderate,Ineffective,0,249.76,13.12,3.21,0.94,83226,10.98,Low
S0004,2025-05,Other,Specialty,High,Strong,Effective,0,365.71,0.78,2.99,1.24,33609,14.43,Low
S0162,2024-02,Other,New Products,Medium,Moderate,Effective,0,459.76,8.12,2.33,2.16,59962,11.11,High
S0010,2025-01,Southeast,Standard,High,Strong,Effective,0,485.98,12.18,2.71,1.32,101740,10.17,Low
S0001,2024-09,Other,Standard,High,Strong,Effective,1,535.2,9.24,3.27,1.71,84758,11.76,Low
S0100,2024-04,Other,Standard,Medium,Moderate,Effective,0,154.91,12.85,4.12,1.74,115997,11.5,Low
S0046,2025-04,Other,Specialty,High,Strong,Effective,0,152.24,4.22,2.89,1.86,58322,14.53,Low
S0141,2025-07,Southeast,Standard,Low,Weak,Effective,0,257.49,18.78,1.75,1.86,126255,9.09,Low
S0198,2024-07,Other,New Products,Low,Moderate,Effective,0,232.88,14.32,2.75,1.81,139856,10.21,High
S0131,2025-07,Midwest,Standard,Medium,Strong,Ineffective,1,71.96,16.03,3.49,1.3,123150,7.71,Low
S0037,2025-06,Midwest,Standard,High,Strong,Effective,1,413.2,9.56,2.57,1.36,92913,11.79,Low
S0007,2024-01,Other,Standard,High,Moderate,Effective,0,105.57,3.38,3.25,1.22,41104,12.81,Low
S0208,2025-02,Other,New Products,High,Moderate,Effective,0,150.9,2.48,2.46,1.76,64916,13.89,High
S0045,2025-07,Other,Standard,High,Strong,Effective,0,227.48,1.92,3.12,2.25,56390,15.29,Low
S0110,2024-05,Other,Specialty,Medium,Strong,Effective,0,534.8,11.63,3.35,1.89,127773,10.89,Low
S0169,2024-07,Midwest,New Products,High,Strong,Effective,2,366.09,6.67,2.79,1.86,93992,10.01,High
S0160,2024-12,Other,New Products,High,Moderate,Ineffective,0,850.89,15.6,2.68,2.33,93426,10.8,High
S0090,2025-10,Southeast,Standard,High,Strong,Effective,0,164.52,2.37,3.15,1.8,83769,14.26,Low
S0007,2024-08,Other,Standard,Medium,Strong,Ineffective,1,517.63,11.99,1.67,1.64,96352,11.46,Low
S0160,2025-11,Other,New Products,High,Moderate,Effective,1,236.5,8.49,2.89,1.82,80044,12.67,High
S0163,2025-10,Midwest,New Products,Low,Moderate,Ineffective,0,440.0,19.85,2.94,1.83,151761,8.45,High
S0113,2025-08,Midwest,Standard,High,Moderate,Effective,0,295.79,7.58,2.79,1.68,104199,14.51,Low
S0064,2024-03,Other,Standard,Low,Weak,Ineffective,0,332.58,23.18,2.76,1.35,187399,6.75,Low
S0174,2025-02,Other,New Products,Medium,Moderate,Ineffective,0,727.88,17.75,1.88,1.92,133870,9.78,High
S0091,2024-09,Midwest,Specialty,Low,Weak,Effective,3,264.15,24.22,2.25,1.8,184265,5.94,Low
S0074,2025-02,Midwest,Standard,Medium,Moderate,Ineffective,2,806.21,22.77,2.02,1.95,153571,6.24,Low
S0085,2025-07,Midwest,Specialty,Medium,Strong,Ineffective,2,85.41,20.21,2.98,2.16,125194,7.47,Low
S0137,2025-01,Other,Specialty,Medium,Moderate,Effective,0,300.14,13.23,2.01,1.46,119399,10.22,Low
S0165,2024-11,Southeast,New Products,Medium,Moderate,Effective,0,279.23,12.45,3.6,1.74,112428,10.88,High
S0103,2024-10,Midwest,Standard,Medium,Strong,Ineffective,1,160.7,6.08,3.41,1.44,94744,11.77,Low
S0108,2024-09,Midwest,Standard,High,Moderate,Ineffective,0,165.65,10.36,3.41,1.55,75384,11.87,Low
S0209,2025-07,Midwest,New Products,High,Strong,Effective,0,248.36,9.1,2.42,1.31,74444,13.25,High
S0147,2025-08,Midwest,Specialty,Medium,Strong,Effective,0,987.07,10.01,3.26,1.05,88694,11.97,Low
S0172,2025-12,Southeast,New Products,High,Strong,Effective,3,400.09,18.43,2.27,1.4,134833,6.07,High
S0051,2024-10,Midwest,Standard,Medium,Strong,Ineffective,1,265.39,12.37,2.79,1.07,75695,9.08,Low
S0088,2025-02,Southeast,Specialty,Medium,Moderate,Ineffective,0,183.66,17.94,3.11,1.66,161356,8.49,Low
S0048,2024-02,Midwest,Standard,Medium,Strong,Ineffective,0,252.61,16.55,1.94,1.23,112942,10.94,Low
S0157,2025-10,Midwest,New Products,High,Strong,Effective,2,304.41,10.07,3.42,1.57,77733,12.07,High
S0126,2025-04,Southeast,Standard,Medium,Weak,Ineffective,0,687.08,21.85,2.93,1.1,133263,7.6,Low
S0167,2024-09,Other,New Products,Medium,Moderate,Ineffective,0,1344.7,18.79,3.15,2.13,130975,10.33,High
S0112,2024-06,Midwest,Standard,Medium,Weak,Effective,0,211.51,8.42,3.48,2.23,109540,12.85,Low
S0210,2025-08,Southeast,New Products,Medium,Weak,Effective,0,262.95,7.85,2.63,1.94,100330,13.75,High
